mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
25,0.32,0.29,0.116868,0.11661350000000001,0.03683,0.037755,0.21199,0.212835,0.110598,0.1111905,0.045222,0.045265,0.097733,0.099203,0.04238344,0.042453967,0.086217,0.08560699999999999,0.118855,0.12149599999999999,0.125418,0.129494,0.053908,0.054352,0.101246,0.1013365,0.09285,0.093835,0.153756,0.155275,24.1757,24.199849999999998,44.8839,47.68965,24.1768,24.18425,130.1,128.93,24.42734337,24.56270218
26,0.78,0.71,0.125223,0.126163,0.04608,0.04773,0.2159,0.21849,0.117459,0.118969,0.050423,0.050599,0.103257,0.107449,0.048372205,0.0479849295,0.088879,0.092329,0.142102,0.118254,0.143577,0.126737,0.069058,0.064161,0.10652,0.106833,0.10217,0.10396,0.159354,0.163683,24.0295,24.176,41.1777,47.6509,24.0598,24.2022,130.1,127.94,24.38141823,24.356478690000003
27,0.72,0.6,0.122019,0.1218855,0.04027,0.04209,0.21437,0.21632,0.114436,0.1155105,0.048142,0.0481995,0.100025,0.1018815,0.046095423,0.045938402,0.089756,0.0912935,0.125654,0.1313425,0.131369,0.138725,0.059881,0.0536315,0.104211,0.1043255,0.09633,0.098215,0.156094,0.15800750000000002,24.1042,24.1657,43.2065,47.445750000000004,24.0836,24.1431,133.25,129.27,24.52016449,24.466212275
28,0.54,0.43,0.119427,0.11955,0.04011,0.041475,0.21335,0.21467,0.112645,0.1136575,0.046861,0.04706,0.099223,0.100825,0.044208288,0.0444519835,0.085902,0.0889915,0.123809,0.122498,0.130628,0.1310645,0.060671,0.058053,0.102901,0.1031885,0.09615,0.097605,0.155263,0.156953,24.1527,24.189549999999997,44.437,47.6577,24.1528,24.1727,131.94,128.97,24.38063622,24.50671959
29,0.6,0.53,0.1211962645010431,0.12110955786659186,0.0402613366350834,0.041878907356136946,0.2140615539428973,0.21586552687543464,0.1137398962987182,0.11487782188039336,0.047500907356137,0.04777637312055485,0.0995793104045233,0.10124769149570506,0.045830037,0.045209864,0.0838910261617698,0.09162352987338396,0.1258144738926776,0.12533496628605464,0.1311569847580683,0.13250593140559805,0.0597557281732045,0.05362947704825985,0.1035645117022932,0.10390796660132046,0.0963213366350834,0.0980073964907463,0.1556432636641405,0.15737928497647058,24.17738228749289,24.205047457194734,44.02573809335489,47.40302021203297,24.156505657684285,24.17536115142757,131.85,129.09,24.43789101,24.48444939
30,0.42,0.36,0.1180469524470495,0.11604342794451605,0.0343313868105837,0.03539400700821145,0.2115712962085764,0.213352234639203,0.1108331075964353,0.11118386693812934,0.0456038601929682,0.045188459492147004,0.0961019199103099,0.09715768249305945,0.042340361,0.043787952500000005,0.0814962182446477,0.08952686494923284,0.1189464484013156,0.1183620712080883,0.1261581299683592,0.127602372946553,0.0556266063073903,0.05018424740346705,0.1016194676263319,0.1012740342887924,0.0903513868105837,0.09147961444157521,0.1521175273436737,0.1532433180330412,24.15337760730718,24.222181056182183,43.54606035293429,48.293911300013804,24.119342973345496,24.172955713925184,132.09,128.62,24.51245499,24.4739275
31,-0.13,-0.06,0.1065136727353498,0.1051629357317379,0.0282444805146727,0.027992704540406352,0.2076255194853272,0.20685038312505635,0.1026521642904739,0.1026710795496613,0.0386141805220767,0.0389188909117832,0.0917571259779683,0.09160610941729115,0.036774516,0.036783924499999995,0.0817175943580115,0.07757618289553256,0.1195529401248708,0.12632946263769768,0.1222492491834716,0.1275877989313327,0.043899727937607,0.038996121115891444,0.0945587597426636,0.09488495649634304,0.08418092856614,0.08394948051467266,0.1477017051985552,0.14757167500185095,24.48914422021671,24.37951006433409,50.47751349699331,47.700226764045034,24.46261350439731,24.34034743362981,125.81,128.34,24.68346977,24.71434116
32,-0.14,-0.11,0.1078534078541071,0.10680690816455905,0.0289502269305616,0.0288615854094125,0.2081390187039122,0.20766792394254355,0.1035746755607333,0.10379919625921749,0.0393917209468457,0.039737279363606146,0.0924729886534719,0.0927479469460516,0.038031824,0.037950713,0.0867882751574719,0.07771004679817944,0.1185416785884544,0.11874997476826596,0.1247081936053428,0.1239571858824441,0.0448733364066985,0.04006007521123045,0.0953445360341562,0.0957172359720658,0.0849002269305616,0.08483794388826335,0.148426260349242,0.14872753940239636,24.457263141642866,24.358670317428917,49.881612543271274,47.6795521893561,24.433481632911818,24.326165211491286,126.43,128.63,24.54515076,24.652551655
33,-0.12,-0.07,0.1065765432090351,0.1052434817788281,0.028244141529499,0.02800885537266535,0.2077220707647495,0.20700264307841687,0.1027454849176994,0.10273243914081309,0.0386626035382374,0.03894667899077605,0.0918435421490661,0.09164045838091835,0.036865961,0.037058331,0.0793899039601376,0.08267587469484185,0.1308945748439619,0.1244809788040995,0.133220117806783,0.12612005278979155,0.0438199615197896,0.038749684615427146,0.0946049427686332,0.0949143772216573,0.084194141529499,0.08397885537266535,0.1477858813794619,0.1476085905348392,24.485202290896098,24.38118678460792,50.32308846414403,47.9263164311874,24.445397089536783,24.334436160937226,126.0,128.23,24.65965843,24.70243549
34,-0.12,-0.08,0.1061785621696746,0.10476503809712906,0.0282802808993527,0.02795453739039815,0.2076796486303794,0.2068266312502663,0.1026041679350154,0.10250838867020075,0.0386029685786557,0.0387965992241666,0.0918198505049671,0.0913145610225838,0.03689824,0.036771215499999996,0.0895825875420017,0.07833566814626461,0.1311351858391545,0.11837651818342279,0.1326425228314695,0.12390405412828435,0.0437269414156821,0.03769529344646105,0.0945384385733677,0.09476201066800685,0.0842124383343281,0.08392063546463666,0.1477553195318416,0.14727994200808256,24.481011464543013,24.371680001812937,50.05210028312619,47.606930420512434,24.43324970846458,24.316071720455504,126.11,128.54500000000002,24.72839928,24.726846695
35,0.18,0.16,0.115565,0.115511,0.0334,0.033685,0.21232,0.21245,0.109839,0.1105405,0.044369,0.0448425,0.098177,0.09934950000000001,0.041989371,0.0415953995,0.089667,0.083842,0.134779,0.12374099999999999,0.138602,0.12528499999999998,0.0501,0.0487905,0.10038,0.100883,0.08942,0.08972,0.154188,0.1553895,24.318,24.26225,47.7511,46.612449999999995,24.2975,24.2324,127.59,128.87,24.52329636,24.65323353
36,0.01,0.0,0.1073509994053372,0.10624300856845084,0.0281068516061934,0.0280342591745494,0.2077146291298418,0.2073823145649209,0.1032160179602809,0.1033353146106642,0.0391731662168576,0.0393084720303545,0.0919916475018124,0.09221133311986465,0.037463844,0.03728275,0.0847564755670435,0.08253770290059985,0.1204566088823963,0.1270696404055628,0.1254596631291855,0.13004465886901995,0.044713258945833,0.03995260168624415,0.0951178143590761,0.09528646277575431,0.0840477775236483,0.0840183332570945,0.1479362030522854,0.14818877756939164,24.42407225449666,24.35863152510703,48.93281830792997,48.048023631973656,24.395800036594633,24.317688931074372,126.95,128.405,24.5338974,24.63197136
