mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
65,-0.03,0.06,0.107896,0.106854,-0.0312,-0.02685,-0.21171,-0.200935,-0.106188,-0.1025685,-0.042803,-0.040249999999999994,-0.100269,-0.08572099999999999,-0.039955869,-0.037555497,-0.087807,-0.07486699999999999,-0.145157,-0.1177695,-0.130261,-0.13266050000000001,-0.117638,-0.0166765,-0.098758,-0.0961375,-0.08714,-0.082735,-0.156224,-0.1416085,51.9215,49.65665,49.6111,47.39375,49.6263,47.40885,127.0,128.70499999999998,68.39878082,66.4978714
66,0.06,0.12,0.110264,0.109318,-0.02885,-0.02515,-0.20951,-0.19945,-0.104552,-0.1014345,-0.040815,-0.038678,-0.09808,-0.084321,-0.038739946,-0.036756709,-0.086315,-0.068846,-0.145297,-0.1171695,-0.122789,-0.13730350000000002,-0.10635,-0.021609,-0.096775,-0.094577,-0.0848,-0.08106,-0.15404,-0.140221,51.4982,49.4232,49.2174,47.1942,49.2324,47.209,127.17,128.86,68.39878082,66.4978714
67,0.01,0.15,0.111181,0.110338,-0.0278,-0.024985,-0.20642,-0.19977,-0.102923,-0.101175,-0.039033,-0.0378815,-0.094862,-0.085813,-0.037720136,-0.035867251,-0.09678,-0.062405999999999996,-0.148326,-0.1135855,-0.130882,-0.1264215,-0.088137,-0.0334345,-0.094998,-0.0937925,-0.08375,-0.080895,-0.150826,-0.1417245,50.8152,49.41715,48.511,47.160849999999996,48.526,47.175650000000005,127.73,129.20999999999998,68.39878082,66.72743225
68,0.12,0.15,0.111014,0.110044,-0.02913,-0.025419999999999998,-0.20777,-0.19943,-0.103543,-0.101164,-0.039736,-0.038141,-0.096201,-0.084845,-0.03796855,-0.036249951,-0.066088,-0.0895825,-0.14054,-0.11486299999999999,-0.12301,-0.13330750000000002,-0.103844,-0.0271485,-0.095697,-0.094047,-0.0851,-0.08133,-0.152161,-0.140751,51.1046,49.35875,48.8506,47.1449,48.8656,47.15975,127.51,128.91,68.39878082,66.4978714
69,0.1,0.15,0.111484,0.1106885,-0.02839,-0.02529,-0.20611,-0.199535,-0.102709,-0.101015,-0.038763,-0.0376595,-0.094544,-0.0854395,-0.037721969,-0.035799555,-0.109453,-0.059220999999999996,-0.110927,-0.153094,-0.096474,-0.174737,-0.088269,-0.034100000000000005,-0.094728,-0.0935755,-0.08435,-0.081205,-0.150509,-0.14135599999999998,50.7617,49.31735,48.499,47.12915,48.514,47.143950000000004,127.83,128.95,68.39878082,66.7148819
70,0.12,0.15,0.111314,0.110351,-0.02977,-0.02586,-0.20722,-0.19935,-0.103171,-0.101046,-0.039364,-0.037929,-0.095622,-0.084913,-0.037764102,-0.036115639,-0.085186,-0.0722055,-0.140047,-0.1142495,-0.123766,-0.13101049999999997,-0.102508,-0.028426,-0.095325,-0.093837,-0.08574,-0.08177,-0.151583,-0.140821,50.9776,49.33125,48.7282,47.11945,48.7429,47.133849999999995,128.04,129.13,68.39878082,66.4978714
71,0.08,0.09,0.111694,0.1109365,-0.02929,-0.025775,-0.20591,-0.199375,-0.102545,-0.100908,-0.038566,-0.037486,-0.094309,-0.08522650000000001,-0.037385125,-0.035582002,-0.09483,-0.0704905,-0.101047,-0.1665755,-0.083671,-0.1929265,-0.087885,-0.0350385,-0.094531,-0.09339800000000001,-0.08525,-0.08168500000000001,-0.150274,-0.14113900000000001,50.7475,49.302899999999994,48.4705,47.11525,48.485,47.1295,127.48,128.975,68.39878082,66.73377228
72,0.44,0.27,0.113251,0.112365,-0.02744,-0.02541,-0.20186,-0.19977,-0.100192,-0.100535,-0.036192,-0.03654,-0.089782,-0.087037,-0.03669915,-0.034060739,-0.042194,-0.0893955,-0.149553,-0.0860865,-0.145067,-0.089795,-0.071644,-0.049601,-0.092151,-0.092462,-0.08339,-0.08134,-0.145742,-0.14296,49.6892,49.190650000000005,47.4439,46.96875,47.4591,46.983850000000004,128.77,128.93,68.39878082,66.45999908
73,0.25,0.23,0.111736,0.111025,-0.02918,-0.025160000000000002,-0.20621,-0.19926,-0.102683,-0.10072249999999999,-0.038605,-0.0373775,-0.094402,-0.08432500000000001,-0.037219509,-0.035610188,-0.085323,-0.0761705,-0.083558,-0.1836565,-0.054012,-0.21787099999999998,-0.091066,-0.0336295,-0.094565,-0.0932825,-0.08513,-0.081065,-0.150363,-0.14023000000000002,50.787,49.2206,48.5185,46.98355,48.5337,46.99855,126.89,129.52499999999998,68.19273376,66.56087494
74,0.17,0.33,0.109316,0.10793849999999999,-0.02733,-0.027475,-0.20161,-0.20534000000000002,-0.100883,-0.10340250000000001,-0.03811,-0.039612499999999995,-0.089003,-0.094217,-0.034816898,-0.037915498,-0.08103,-0.0801715,-0.148167,-0.09463150000000001,-0.147605,-0.0959515,-0.073498,-0.051511,-0.094044,-0.095453,-0.08327,-0.08332,-0.144937,-0.1500575,49.4555,50.00235,47.1824,47.76105,47.1976,47.7761,128.74,128.53,65.84209442,67.44290924
